,TEAM_NAME,SEASON,W,L,W_PCT,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS
0,Atlanta Hawks,2014-15,60,22,0.732,0.466,0.38,0.778,715,2611,3326,2111,1167.0,744,380,8409,445.0
1,Boston Celtics,2014-15,40,42,0.488,0.443,0.327,0.754,910,2685,3595,2009,1133.0,674,294,8312,13.0
2,Brooklyn Nets,2014-15,38,44,0.463,0.451,0.331,0.748,846,2627,3473,1716,1133.0,576,340,8038,-236.0
3,Charlotte Hornets,2014-15,33,49,0.402,0.42,0.318,0.748,820,2793,3613,1654,976.0,499,448,7721,-260.0
4,Chicago Bulls,2014-15,50,32,0.61,0.442,0.353,0.783,959,2792,3751,1781,1145.0,514,476,8265,246.0
5,Cleveland Cavaliers,2014-15,53,29,0.646,0.458,0.367,0.751,911,2612,3523,1814,1171.0,603,340,8457,367.0
6,Dallas Mavericks,2014-15,50,32,0.61,0.463,0.352,0.752,858,2608,3466,1846,1062.0,663,371,8628,238.0
7,Denver Nuggets,2014-15,30,52,0.366,0.433,0.325,0.734,1012,2653,3665,1788,1166.0,641,367,8320,-291.0
8,Detroit Pistons,2014-15,32,50,0.39,0.432,0.344,0.703,1051,2630,3681,1771,1099.0,623,383,8077,-82.0
9,Golden State Warriors,2014-15,67,15,0.817,0.478,0.398,0.768,853,2814,3667,2248,1185.0,762,496,9016,828.0
10,Houston Rockets,2014-15,56,26,0.683,0.444,0.348,0.715,958,2624,3582,1820,1366.0,777,407,8522,282.0
11,Indiana Pacers,2014-15,38,44,0.463,0.439,0.352,0.756,856,2822,3678,1757,1147.0,505,375,7981,23.0
12,Los Angeles Clippers,2014-15,56,26,0.683,0.473,0.376,0.71,784,2711,3495,2031,1012.0,640,409,8751,540.0
13,Los Angeles Lakers,2014-15,21,61,0.256,0.435,0.344,0.741,952,2647,3599,1715,1086.0,578,366,8073,-561.0
14,Memphis Grizzlies,2014-15,55,27,0.671,0.458,0.339,0.773,856,2634,3490,1777,1094.0,700,347,8062,266.0
15,Miami Heat,2014-15,37,45,0.451,0.456,0.335,0.741,747,2461,3208,1626,1214.0,642,372,7764,-213.0
16,Milwaukee Bucks,2014-15,41,41,0.5,0.459,0.363,0.757,876,2574,3450,1932,1373.0,789,403,8023,35.0
17,Minnesota Timberwolves,2014-15,16,66,0.195,0.438,0.332,0.776,949,2406,3355,1771,1231.0,668,327,8016,-721.0
18,New Orleans Pelicans,2014-15,45,37,0.549,0.457,0.37,0.751,942,2621,3563,1806,1087.0,553,510,8147,65.0
19,New York Knicks,2014-15,17,65,0.207,0.428,0.347,0.769,867,2443,3310,1746,1206.0,575,382,7535,-764.0
20,Oklahoma City Thunder,2014-15,45,37,0.549,0.447,0.339,0.754,1052,2844,3896,1681,1205.0,598,454,8524,179.0
21,Orlando Magic,2014-15,25,57,0.305,0.453,0.347,0.729,822,2607,3429,1692,1221.0,647,314,7847,-469.0
22,Philadelphia 76ers,2014-15,18,64,0.22,0.408,0.32,0.676,978,2536,3514,1683,1453.0,789,487,7542,-736.0
23,Phoenix Suns,2014-15,39,43,0.476,0.452,0.341,0.76,896,2643,3539,1659,1238.0,700,385,8397,-74.0
24,Portland Trail Blazers,2014-15,51,31,0.622,0.45,0.362,0.801,879,2881,3760,1799,1117.0,525,372,8429,347.0
25,Sacramento Kings,2014-15,29,53,0.354,0.455,0.341,0.762,895,2728,3623,1667,1333.0,550,324,8310,-304.0
26,San Antonio Spurs,2014-15,55,27,0.671,0.468,0.367,0.78,806,2772,3578,2000,1146.0,657,444,8461,508.0
27,Toronto Raptors,2014-15,49,33,0.598,0.455,0.352,0.787,881,2526,3407,1701,1057.0,615,357,8527,252.0
28,Utah Jazz,2014-15,38,44,0.463,0.447,0.343,0.721,988,2617,3605,1632,1256.0,623,489,7801,18.0
29,Washington Wizards,2014-15,46,36,0.561,0.462,0.36,0.742,862,2801,3663,1969,1233.0,601,378,8080,59.0
30,Atlanta Hawks,2015-16,48,34,0.585,0.458,0.35,0.783,679,2772,3451,2100,1226.0,747,486,8433,296.0
31,Boston Celtics,2015-16,48,34,0.585,0.439,0.335,0.788,950,2733,3683,1981,1127.0,752,348,8669,263.0
32,Brooklyn Nets,2015-16,21,61,0.256,0.453,0.352,0.757,863,2614,3477,1829,1212.0,627,332,8089,-603.0
33,Charlotte Hornets,2015-16,48,34,0.585,0.439,0.362,0.79,734,2869,3603,1778,1029.0,595,438,8479,223.0
34,Chicago Bulls,2015-16,42,40,0.512,0.441,0.371,0.787,907,2889,3796,1870,1141.0,495,470,8335,-121.0
35,Cleveland Cavaliers,2015-16,57,25,0.695,0.46,0.362,0.748,873,2777,3650,1861,1114.0,551,317,8555,492.0
36,Dallas Mavericks,2015-16,42,40,0.512,0.444,0.344,0.794,751,2781,3532,1813,1047.0,560,306,8388,-25.0
37,Denver Nuggets,2015-16,33,49,0.402,0.442,0.338,0.766,941,2718,3659,1858,1202.0,609,395,8355,-254.0
38,Detroit Pistons,2015-16,44,38,0.537,0.439,0.345,0.668,1021,2777,3798,1594,1110.0,573,304,8361,50.0
39,Golden State Warriors,2015-16,73,9,0.89,0.487,0.416,0.763,816,2972,3788,2373,1245.0,689,498,9421,882.0
40,Houston Rockets,2015-16,41,41,0.5,0.452,0.347,0.694,930,2601,3531,1821,1307.0,821,430,8737,16.0
41,Indiana Pacers,2015-16,45,37,0.549,0.45,0.351,0.764,847,2779,3626,1741,1219.0,742,391,8377,140.0
42,LA Clippers,2015-16,53,29,0.646,0.465,0.364,0.692,721,2727,3448,1873,1063.0,709,460,8569,351.0
43,Los Angeles Lakers,2015-16,17,65,0.207,0.414,0.317,0.781,878,2645,3523,1478,1124.0,593,337,7982,-784.0
44,Memphis Grizzlies,2015-16,42,40,0.512,0.44,0.331,0.783,916,2497,3413,1697,1090.0,724,350,8126,-184.0
45,Miami Heat,2015-16,48,34,0.585,0.47,0.336,0.744,807,2811,3618,1709,1155.0,553,531,8204,135.0
